Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
Viet Nam,63,2003_04_29,None,53,5,,,,,,,
Total,5462,2003_04_29,,2427,353,,,,,,,
Australia,4,2003_04_30,None,3,0,,,,,,,
Brazil,2,2003_04_30,None,2,0,,,,,,,
Bulgaria,1,2003_04_30,None,0,0,,,,,,,
Canada,148,2003_04_30,Yes,87,20,,,,,,,
China,3460,2003_04_30,Yes,1332,159,,,,,,,
"China, Hong Kong Special Administrative Region^5",1589,2003_04_30,Yes,791,157,,,,,,,
"China, Macao Special Administrative Region",1,2003_04_30,None,0,0,,,,,,,
"China, Taiwan",78,2003_04_30,Yes,25,1,,,,,,,
France,5,2003_04_30,None,1,0,,,,,,,
Germany,7,2003_04_30,None,7,0,,,,,,,
Indonesia,2,2003_04_30,None,1,0,,,,,,,
Italy,9,2003_04_30,None,4,0,,,,,,,
Japan,2,2003_04_30,None,0,0,,,,,,,
Kuwait,1,2003_04_30,None,1,0,,,,,,,
Malaysia,6,2003_04_30,None,3,2,,,,,,,
Mongolia,6,2003_04_30,None,3,0,,,,,,,
Philippines,4,2003_04_30,None,1,2,,,,,,,
Republic of Ireland,1,2003_04_30,None,1,0,,,,,,,
Republic of Korea,1,2003_04_30,None,0,0,,,,,,,
Romania,1,2003_04_30,None,1,0,,,,,,,
Singapore,201,2003_04_30,Yes,139,24,,,,,,,
South Africa,1,2003_04_30,None,0,0,,,,,,,
Spain,1,2003_04_30,None,1,0,,,,,,,
Sweden,3,2003_04_30,None,2,0,,,,,,,
Switzerland,1,2003_04_30,None,1,0,,,,,,,
Thailand,7,2003_04_30,None,5,2,,,,,,,
United Kingdom,6,2003_04_30,Yes,6,0,,,,,,,
United States,52,2003_04_30,Yes,not available,0,,,,,,,
Viet Nam,63,2003_04_30,None,53,5,,,,,,,
Total,5663,2003_04_30,,2470,372,,,,,,,
Australia,4,2003_05_01,None,4,0,,,,,,,
Brazil,2,2003_05_01,None,2,0,,,,,,,
Bulgaria,1,2003_05_01,None,0,0,,,,,,,
Canada,147,2003_05_01,Yes,87,20,,,,,,,
China,3638,2003_05_01,Yes,1351,170,,,,,,,
"China, Hong Kong Special Administrative Region^5",1600,2003_05_01,Yes,834,162,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_01,None,0,0,,,,,,,
"China, Taiwan",89,2003_05_01,Yes,25,3,,,,,,,
France,5,2003_05_01,None,1,0,,,,,,,
Germany,7,2003_05_01,None,7,0,,,,,,,
Indonesia,2,2003_05_01,None,1,0,,,,,,,
Italy,9,2003_05_01,None,4,0,,,,,,,
Japan,2,2003_05_01,None,0,0,,,,,,,
Kuwait,1,2003_05_01,None,1,0,,,,,,,
Malaysia,6,2003_05_01,None,3,2,,,,,,,
Mongolia,6,2003_05_01,Yes,3,0,,,,,,,
Philippines,4,2003_05_01,None,1,2,,,,,,,
Poland,1,2003_05_01,None,0,0,,,,,,,
Republic of Ireland,1,2003_05_01,None,1,0,,,,,,,
Republic of Korea,1,2003_05_01,None,0,0,,,,,,,
Romania,1,2003_05_01,None,1,0,,,,,,,
Singapore,201,2003_05_01,Yes,143,25,,,,,,,
South Africa,1,2003_05_01,None,0,0,,,,,,,
Spain,1,2003_05_01,None,1,0,,,,,,,
Sweden,3,2003_05_01,None,2,0,,,,,,,
Switzerland,1,2003_05_01,None,1,0,,,,,,,
Thailand,7,2003_05_01,None,5,2,,,,,,,
United Kingdom,6,2003_05_01,None,6,0,,,,,,,
United States,54,2003_05_01,None,23,0,,,,,,,
Viet Nam,63,2003_05_01,None,56,5,,,,,,,
Total,5865,2003_05_01,,2563,391,,,,,,,
Australia,4,2003_05_02,37734,4,0,,,,,,,
Brazil,2,2003_05_02,37721,2,0,,,,,,,
Bulgaria,1,2003_05_02,37735,0,0,,,,,,,
Canada,149,2003_05_02,37742,93,22,,,,,,,
China,3799,2003_05_02,37743,1372,181,,,,,,,
"China, Hong Kong Special Administrative Region^4",1611,2003_05_02,37743,878,170,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_02,37741,0,0,,,,,,,
"China, Taiwan",100,2003_05_02,37743,25,8,,,,,,,
France,5,2003_05_02,37722,4,0,,,,,,,
Germany,7,2003_05_02,37733,7,0,,,,,,,
Indonesia,2,2003_05_02,37734,1,0,,,,,,,
Italy,9,2003_05_02,37740,4,0,,,,,,,
Kuwait,1,2003_05_02,37720,1,0,,,,,,,
Malaysia,6,2003_05_02,37739,3,2,,,,,,,
Mongolia,8,2003_05_02,37742,4,0,,,,,,,
New Zealand,1,2003_05_02,37741,1,0,,,,,,,
Philippines,3,2003_05_02,37739,1,2,,,,,,,
Poland,1,2003_05_02,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_02,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_02,37740,0,0,,,,,,,
Romania,1,2003_05_02,37707,1,0,,,,,,,
Singapore,203,2003_05_02,37743,146,25,,,,,,,
South Africa,1,2003_05_02,37720,0,0,,,,,,,
Spain,1,2003_05_02,37713,1,0,,,,,,,
Sweden,3,2003_05_02,37729,2,0,,,,,,,
Switzerland,1,2003_05_02,37697,1,0,,,,,,,
Thailand,7,2003_05_02,37723,5,2,,,,,,,
United Kingdom,6,2003_05_02,37722,6,0,,,,,,,
United States,56,2003_05_02,37741,24,0,,,,,,,
Viet Nam,63,2003_05_02,37725,56,5,,,,,,,
Total,6054,2003_05_02,,2643,417,,,,,,,
Australia,4,2003_05_03,37734,4,0,,,,,,,
Brazil,2,2003_05_03,37721,2,0,,,,,,,
Bulgaria,1,2003_05_03,37735,0,0,,,,,,,
Canada,149,2003_05_03,37742,94,22,,,,,,,
China,3971,2003_05_03,37744,1406,190,,,,,,,
"China, Hong Kong Special Administrative Region^4",1621,2003_05_03,37744,898,179,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_03,37741,0,0,,,,,,,
"China, Taiwan",100,2003_05_03,37743,25,8,,,,,,,
France,5,2003_05_03,37722,4,0,,,,,,,
Germany,7,2003_05_03,37733,7,0,,,,,,,
Indonesia,2,2003_05_03,37734,1,0,,,,,,,
Italy,9,2003_05_03,37740,4,0,,,,,,,
Kuwait,1,2003_05_03,37720,1,0,,,,,,,
Malaysia,6,2003_05_03,37739,3,2,,,,,,,
Mongolia,8,2003_05_03,37742,4,0,,,,,,,
New Zealand,1,2003_05_03,37741,1,0,,,,,,,
Philippines,3,2003_05_03,37739,1,2,,,,,,,
Poland,1,2003_05_03,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_03,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_03,37740,0,0,,,,,,,
Romania,1,2003_05_03,37707,1,0,,,,,,,
Singapore,203,2003_05_03,37743,147,25,,,,,,,
South Africa,1,2003_05_03,37720,1,0,,,,,,,
Spain,1,2003_05_03,37713,1,0,,,,,,,
Sweden,3,2003_05_03,37729,2,0,,,,,,,
Switzerland,1,2003_05_03,37697,1,0,,,,,,,
Thailand,7,2003_05_03,37723,5,2,,,,,,,
United Kingdom,6,2003_05_03,37722,6,0,,,,,,,
United States,54,2003_05_03,37741,24,0,,,,,,,
Viet Nam,63,2003_05_03,37725,58,5,,,,,,,
Total,6234,2003_05_03,,2702,435,,,,,,,
Australia,4,2003_05_05,37734,4,0,,,,,,,
Brazil,2,2003_05_05,37721,2,0,,,,,,,
Bulgaria,1,2003_05_05,37735,0,0,,,,,,,
Canada,148,2003_05_05,37742,93,22,,,,,,,
China,4280,2003_05_05,37746,1433,206,,,,,,,
"China, Hong Kong Special Administrative Region^5",1637,2003_05_05,37746,930,187,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_05,37741,0,0,,,,,,,
"China, Taiwan",116,2003_05_05,37746,25,8,,,,,,,
France,5,2003_05_05,37722,4,0,,,,,,,
Germany,7,2003_05_05,37733,7,0,,,,,,,
Indonesia,2,2003_05_05,37734,1,0,,,,,,,
Italy,9,2003_05_05,37740,4,0,,,,,,,
Kuwait,1,2003_05_05,37720,1,0,,,,,,,
Malaysia,7,2003_05_05,37745,4,2,,,,,,,
Mongolia,8,2003_05_05,37742,4,0,,,,,,,
New Zealand,1,2003_05_05,37741,1,0,,,,,,,
Philippines,3,2003_05_05,37739,1,2,,,,,,,
Poland,1,2003_05_05,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_05,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_05,37740,0,0,,,,,,,
Romania,1,2003_05_05,37707,1,0,,,,,,,
Singapore,204,2003_05_05,37746,149,26,,,,,,,
South Africa,1,2003_05_05,37720,0,1,,,,,,,
Spain,1,2003_05_05,37713,1,0,,,,,,,
Sweden,3,2003_05_05,37729,2,0,,,,,,,
Switzerland,1,2003_05_05,37697,1,0,,,,,,,
Thailand,7,2003_05_05,37723,5,2,,,,,,,
United Kingdom,6,2003_05_05,37722,6,0,,,,,,,
United States,61,2003_05_05,37744,26,0,,,,,,,
Viet Nam,63,2003_05_05,37725,58,5,,,,,,,
Total,6583,2003_05_05,,2764,461,,,,,,,
Australia,4,2003_05_06,37734,4,0,,,,,,,
Brazil,2,2003_05_06,37721,2,0,,,,,,,
Bulgaria,1,2003_05_06,37735,0,0,,,,,,,
Canada,148,2003_05_06,37745,93,22,,,,,,,
China,4409,2003_05_06,37747,1460,214,,,,,,,
"China, Hong Kong Special Administrative Region^5",1646,2003_05_06,37747,958,193,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_06,37741,0,0,,,,,,,
"China, Taiwan",116,2003_05_06,37746,25,10,,,,,,,
Colombia,1,2003_05_06,37746,1,0,,,,,,,
France,5,2003_05_06,37722,4,0,,,,,,,
Germany,7,2003_05_06,37733,7,0,,,,,,,
India,1,2003_05_06,37746,0,0,,,,,,,
Indonesia,2,2003_05_06,37734,1,0,,,,,,,
Italy,9,2003_05_06,37740,4,0,,,,,,,
Kuwait,1,2003_05_06,37720,1,0,,,,,,,
Malaysia,7,2003_05_06,37745,4,2,,,,,,,
Mongolia,8,2003_05_06,37742,4,0,,,,,,,
New Zealand,1,2003_05_06,37741,1,0,,,,,,,
Philippines,3,2003_05_06,37739,1,2,,,,,,,
Poland,1,2003_05_06,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_06,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_06,37740,0,0,,,,,,,
Romania,1,2003_05_06,37707,1,0,,,,,,,
Singapore,204,2003_05_06,37746,149,27,,,,,,,
South Africa,1,2003_05_06,37720,0,1,,,,,,,
Spain,1,2003_05_06,37713,1,0,,,,,,,
Sweden,3,2003_05_06,37729,2,0,,,,,,,
Switzerland,1,2003_05_06,37697,1,0,,,,,,,
Thailand,7,2003_05_06,37723,5,2,,,,,,,
United Kingdom,6,2003_05_06,37722,6,0,,,,,,,
United States,65,2003_05_06,37745,32,0,,,,,,,
Viet Nam,63,2003_05_06,37725,58,5,,,,,,,
Total,6727,2003_05_06,,2826,478,,,,,,,
Australia,4,2003_05_07,37734,4,0,,,,,,,
Brazil,2,2003_05_07,37721,2,0,,,,,,,
Bulgaria,1,2003_05_07,37735,0,0,,,,,,,
Canada,146,2003_05_07,37745,93,22,,,,,,,
China,4560,2003_05_07,37748,1487,219,,,,,,,
"China, Hong Kong Special Administrative Region^4",1654,2003_05_07,37748,984,204,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_07,37741,0,0,,,,,,,
"China, Taiwan",125,2003_05_07,37748,26,11,,,,,,,
Colombia,1,2003_05_07,37746,1,0,,,,,,,
France,6,2003_05_07,37747,4,0,,,,,,,
Germany,8,2003_05_07,37748,7,0,,,,,,,
India,1,2003_05_07,37746,0,0,,,,,,,
Indonesia,2,2003_05_07,37734,1,0,,,,,,,
Italy,9,2003_05_07,37740,5,0,,,,,,,
Kuwait,1,2003_05_07,37720,1,0,,,,,,,
Malaysia,7,2003_05_07,37745,4,2,,,,,,,
Mongolia,9,2003_05_07,37747,6,0,,,,,,,
New Zealand,1,2003_05_07,37741,1,0,,,,,,,
Philippines,10,2003_05_07,37748,2,2,,,,,,,
Poland,1,2003_05_07,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_07,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_07,37740,0,0,,,,,,,
Romania,1,2003_05_07,37707,1,0,,,,,,,
Singapore,204,2003_05_07,37746,150,27,,,,,,,
South Africa,1,2003_05_07,37720,0,1,,,,,,,
Spain,1,2003_05_07,37713,1,0,,,,,,,
Sweden,3,2003_05_07,37729,2,0,,,,,,,
Switzerland,1,2003_05_07,37697,1,0,,,,,,,
Thailand,7,2003_05_07,37723,5,2,,,,,,,
United Kingdom,6,2003_05_07,37722,6,0,,,,,,,
United States,65,2003_05_07,37745,32,0,,,,,,,
Viet Nam,63,2003_05_07,37725,58,5,,,,,,,
Total,6903,2003_05_07,,2885,495,,,,,,,
Australia,4,2003_05_08,37734,4,0,,,,,,,
Brazil,2,2003_05_08,37721,2,0,,,,,,,
Bulgaria,1,2003_05_08,37735,0,0,,,,,,,
Canada,146,2003_05_08,37745,95,22,,,,,,,
China,4698,2003_05_08,37749,1529,224,,,,,,,
"China, Hong Kong Special Administrative Region^4",1661,2003_05_08,37749,1008,208,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_08,37741,0,0,,,,,,,
"China, Taiwan",131,2003_05_08,37749,26,13,,,,,,,
Colombia,1,2003_05_08,37746,1,0,,,,,,,
Finland,1,2003_05_08,37748,0,0,,,,,,,
France,6,2003_05_08,37747,4,0,,,,,,,
Germany,8,2003_05_08,37748,7,0,,,,,,,
India,1,2003_05_08,37746,0,0,,,,,,,
Indonesia,2,2003_05_08,37734,1,0,,,,,,,
Italy,9,2003_05_08,37740,6,0,,,,,,,
Kuwait,1,2003_05_08,37720,1,0,,,,,,,
Malaysia,7,2003_05_08,37745,4,2,,,,,,,
Mongolia,9,2003_05_08,37747,6,0,,,,,,,
New Zealand,1,2003_05_08,37741,1,0,,,,,,,
Philippines,10,2003_05_08,37748,2,2,,,,,,,
Poland,1,2003_05_08,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_08,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_08,37740,1,0,,,,,,,
Romania,1,2003_05_08,37707,1,0,,,,,,,
Singapore,204,2003_05_08,37746,153,27,,,,,,,
South Africa,1,2003_05_08,37720,0,1,,,,,,,
Spain,1,2003_05_08,37713,1,0,,,,,,,
Sweden,3,2003_05_08,37729,2,0,,,,,,,
Switzerland,1,2003_05_08,37697,1,0,,,,,,,
Thailand,7,2003_05_08,37723,5,2,,,,,,,
United Kingdom,6,2003_05_08,37722,6,0,,,,,,,
United States,63,2003_05_08,37745,33,0,,,,,,,
Viet Nam,63,2003_05_08,37725,58,5,,,,,,,
Total,7053,2003_05_08,,2959,506,,,,,,,
Australia,4,2003_05_09,37734,4,0,,,,,,,
Brazil,2,2003_05_09,37721,2,0,,,,,,,
Bulgaria,1,2003_05_09,37735,0,0,,,,,,,
Canada,145,2003_05_09,37745,94,22,,,,,,,
China,4805,2003_05_09,37750,1582,230,,,,,,,
"China, Hong Kong Special Administrative Region^4",1667,2003_05_09,37750,1015,210,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_09,37750,0,0,,,,,,,
"China, Taiwan",149,2003_05_09,37750,26,13,,,,,,,
Colombia,1,2003_05_09,37746,1,0,,,,,,,
Finland,1,2003_05_09,37748,0,0,,,,,,,
France,6,2003_05_09,37747,4,0,,,,,,,
Germany,9,2003_05_09,37750,9,0,,,,,,,
India,1,2003_05_09,37746,0,0,,,,,,,
Indonesia,2,2003_05_09,37734,1,0,,,,,,,
Italy,9,2003_05_09,37740,9,0,,,,,,,
Kuwait,1,2003_05_09,37720,1,0,,,,,,,
Malaysia,6,2003_05_09,37745,4,2,,,,,,,
Mongolia,9,2003_05_09,37747,6,0,,,,,,,
New Zealand,1,2003_05_09,37741,1,0,,,,,,,
Philippines,10,2003_05_09,37748,2,2,,,,,,,
Poland,1,2003_05_09,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_09,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_09,37740,1,0,,,,,,,
Romania,1,2003_05_09,37707,1,0,,,,,,,
Singapore,204,2003_05_09,37746,153,27,,,,,,,
South Africa,1,2003_05_09,37720,0,1,,,,,,,
Spain,1,2003_05_09,37713,1,0,,,,,,,
Sweden,3,2003_05_09,37729,2,0,,,,,,,
Switzerland,1,2003_05_09,37697,1,0,,,,,,,
Thailand,7,2003_05_09,37723,5,2,,,,,,,
United Kingdom,6,2003_05_09,37722,6,0,,,,,,,
United States,63,2003_05_09,37745,33,0,,,,,,,
Viet Nam,63,2003_05_09,37725,58,5,,,,,,,
Total,7183,2003_05_09,,3023,514,,,,,,,
Australia,4,2003_05_10,37734,4,0,,,,,,,
Brazil,2,2003_05_10,37721,2,0,,,,,,,
Bulgaria,1,2003_05_10,37735,0,0,,,,,,,
Canada,145,2003_05_10,37745,97,22,,,,,,,
China,4884,2003_05_10,37751,1620,235,,,,,,,
"China, Hong Kong Special Administrative Region^4",1674,2003_05_10,37751,1035,212,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_10,37750,0,0,,,,,,,
"China, Taiwan",172,2003_05_10,37751,26,18,,,,,,,
Colombia,1,2003_05_10,37746,1,0,,,,,,,
Finland,1,2003_05_10,37748,0,0,,,,,,,
France,7,2003_05_10,37750,4,0,,,,,,,
Germany,9,2003_05_10,37750,9,0,,,,,,,
India,1,2003_05_10,37746,0,0,,,,,,,
Indonesia,2,2003_05_10,37734,1,0,,,,,,,
Italy,9,2003_05_10,37740,9,0,,,,,,,
Kuwait,1,2003_05_10,37720,1,0,,,,,,,
Malaysia,7,2003_05_10,37750,4,2,,,,,,,
Mongolia,9,2003_05_10,37747,6,0,,,,,,,
New Zealand,1,2003_05_10,37741,1,0,,,,,,,
Philippines,10,2003_05_10,37748,2,2,,,,,,,
Poland,1,2003_05_10,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_10,37701,1,0,,,,,,,
Republic of Korea,1,2003_05_10,37740,1,0,,,,,,,
Romania,1,2003_05_10,37707,1,0,,,,,,,
Singapore,205,2003_05_10,37750,155,27,,,,,,,
South Africa,1,2003_05_10,37720,0,1,,,,,,,
Spain,1,2003_05_10,37713,1,0,,,,,,,
Sweden,3,2003_05_10,37729,2,0,,,,,,,
Switzerland,1,2003_05_10,37697,1,0,,,,,,,
Thailand,7,2003_05_10,37723,5,2,,,,,,,
United Kingdom,6,2003_05_10,37740,6,0,,,,,,,
United States,64,2003_05_10,37751,34,0,,,,,,,
Viet Nam,63,2003_05_10,37725,58,5,,,,,,,
Total,7296,2003_05_10,,3087,526,,,,,,,
Australia,6,2003_05_12,37753,6,0,,,,,,,
Brazil,2,2003_05_12,37721,2,0,,,,,,,
Bulgaria,1,2003_05_12,37735,0,0,,,,,,,
Canada,143,2003_05_12,37745,98,22,,,,,,,
China,5013,2003_05_12,37753,1693,252,,,,,,,
"China, Hong Kong Special Administrative Region^5",1683,2003_05_12,37753,1066,218,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_12,37750,0,0,,,,,,,
"China, Taiwan",184,2003_05_12,37752,26,20,,,,,,,
Colombia,1,2003_05_12,37746,1,0,,,,,,,
Finland,1,2003_05_12,37748,0,0,,,,,,,
France,7,2003_05_12,37750,4,0,,,,,,,
Germany,9,2003_05_12,37750,9,0,,,,,,,
India,1,2003_05_12,37746,0,0,,,,,,,
Indonesia,2,2003_05_12,37734,1,0,,,,,,,
Italy,9,2003_05_12,37740,8,0,,,,,,,
Kuwait,1,2003_05_12,37720,1,0,,,,,,,
Malaysia,7,2003_05_12,37750,4,2,,,,,,,
Mongolia,9,2003_05_12,37747,6,0,,,,,,,
New Zealand,1,2003_05_12,37741,1,0,,,,,,,
Philippines,10,2003_05_12,37748,3,2,,,,,,,
Poland,1,2003_05_12,37742,0,0,,,,,,,
Republic of Ireland,1,2003_05_12,37701,1,0,,,,,,,
Republic of Korea,2,2003_05_12,37753,1,0,,,,,,,
Romania,1,2003_05_12,37707,1,0,,,,,,,
Singapore,205,2003_05_12,37750,156,28,,,,,,,
South Africa,1,2003_05_12,37720,0,1,,,,,,,
Spain,1,2003_05_12,37713,1,0,,,,,,,
Sweden,3,2003_05_12,37729,2,0,,,,,,,
Switzerland,1,2003_05_12,37697,1,0,,,,,,,
Thailand,7,2003_05_12,37723,5,2,,,,,,,
United Kingdom,6,2003_05_12,37740,6,0,,,,,,,
United States,64,2003_05_12,37751,34,0,,,,,,,
Viet Nam,63,2003_05_12,37725,58,5,,,,,,,
Total,7447,2003_05_12,,3195,552,,,,,,,
Australia,6,2003_05_13,37753,6,0,,,,,,,
Brazil,2,2003_05_13,37721,2,0,,,,,,,
Bulgaria,1,2003_05_13,37735,0,0,,,,,,,
Canada,143,2003_05_13,37745,99,22,,,,,,,
China,5086,2003_05_13,37754,1765,262,,,,,,,
"China, Hong Kong Special Administrative Region^4",1689,2003_05_13,37754,1090,225,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_13,37750,0,0,,,,,,,
"China, Taiwan",207,2003_05_13,37753,30,24,,,,,,,
Colombia,1,2003_05_13,37746,1,0,,,,,,,
Finland,1,2003_05_13,37748,0,0,,,,,,,
France,7,2003_05_13,37750,4,0,,,,,,,
Germany,9,2003_05_13,37750,9,0,,,,,,,
India,3,2003_05_13,37754,0,0,,,,,,,
Indonesia,2,2003_05_13,37734,1,0,,,,,,,
Italy,9,2003_05_13,37740,9,0,,,,,,,
Kuwait,1,2003_05_13,37720,1,0,,,,,,,
Malaysia,7,2003_05_13,37750,4,2,,,,,,,
Mongolia,9,2003_05_13,37747,6,0,,,,,,,
New Zealand,1,2003_05_13,37741,1,0,,,,,,,
Philippines,10,2003_05_13,37748,3,2,,,,,,,
Republic of Ireland,1,2003_05_13,37701,1,0,,,,,,,
Republic of Korea,2,2003_05_13,37753,1,0,,,,,,,
Romania,1,2003_05_13,37707,1,0,,,,,,,
Singapore,205,2003_05_13,37750,157,28,,,,,,,
South Africa,1,2003_05_13,37720,0,1,,,,,,,
Spain,1,2003_05_13,37713,1,0,,,,,,,
Sweden,3,2003_05_13,37729,3,0,,,,,,,
Switzerland,1,2003_05_13,37697,1,0,,,,,,,
Thailand,7,2003_05_13,37723,5,2,,,,,,,
United Kingdom,4,2003_05_13,37740,4,0,,,,,,,
United States,64,2003_05_13,37751,35,0,,,,,,,
Viet Nam,63,2003_05_13,37725,58,5,,,,,,,
Total,7548,2003_05_13,,3298,573,,,,,,,
Australia,6,2003_05_14,37753,6,0,,,,,,,
Brazil,2,2003_05_14,37721,2,0,,,,,,,
Bulgaria,1,2003_05_14,37735,0,0,,,,,,,
Canada,143,2003_05_14,37745,104,23,,,,,,,
China,5124,2003_05_14,37755,1811,267,,,,,,,
"China, Hong Kong Special Administrative Region^4",1698,2003_05_14,37755,1128,227,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_14,37750,0,0,,,,,,,
"China, Taiwan",238,2003_05_14,37755,38,30,,,,,,,
Colombia,1,2003_05_14,37746,1,0,,,,,,,
Finland,1,2003_05_14,37748,0,0,,,,,,,
France,7,2003_05_14,37750,4,0,,,,,,,
Germany,9,2003_05_14,37750,9,0,,,,,,,
India,3,2003_05_14,37754,0,0,,,,,,,
Indonesia,2,2003_05_14,37734,2,0,,,,,,,
Italy,9,2003_05_14,37740,9,0,,,,,,,
Kuwait,1,2003_05_14,37720,1,0,,,,,,,
Malaysia,7,2003_05_14,37750,5,2,,,,,,,
Mongolia,9,2003_05_14,37747,6,0,,,,,,,
New Zealand,1,2003_05_14,37741,1,0,,,,,,,
Philippines,10,2003_05_14,37748,3,2,,,,,,,
Republic of Ireland,1,2003_05_14,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_14,37755,1,0,,,,,,,
Romania,1,2003_05_14,37707,1,0,,,,,,,
Singapore,205,2003_05_14,37750,157,28,,,,,,,
South Africa,1,2003_05_14,37720,0,1,,,,,,,
Spain,1,2003_05_14,37713,1,0,,,,,,,
Sweden,3,2003_05_14,37729,3,0,,,,,,,
Switzerland,1,2003_05_14,37697,1,0,,,,,,,
Thailand,8,2003_05_14,37754,5,2,,,,,,,
United Kingdom,4,2003_05_14,37740,4,0,,,,,,,
United States,64,2003_05_14,37751,35,0,,,,,,,
Viet Nam,63,2003_05_14,37725,58,5,,,,,,,
Total,7628,2003_05_14,,3397,587,,,,,,,
Australia,6,2003_05_15,37753,6,0,,,,,,,
Brazil,2,2003_05_15,37721,2,0,,,,,,,
Bulgaria,1,2003_05_15,37735,0,0,,,,,,,
Canada,142,2003_05_15,37745,107,23,,,,,,,
China,5163,2003_05_15,37756,1858,271,,,,,,,
"China, Hong Kong Special Administrative Region^4",1703,2003_05_15,37756,1160,234,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_15,37750,0,0,,,,,,,
"China, Taiwan",264,2003_05_15,37756,38,30,,,,,,,
Colombia,1,2003_05_15,37746,1,0,,,,,,,
Finland,1,2003_05_15,37748,0,0,,,,,,,
France,7,2003_05_15,37750,4,0,,,,,,,
Germany,9,2003_05_15,37750,9,0,,,,,,,
India,3,2003_05_15,37754,3,0,,,,,,,
Indonesia,2,2003_05_15,37734,2,0,,,,,,,
Italy,9,2003_05_15,37740,9,0,,,,,,,
Kuwait,1,2003_05_15,37720,1,0,,,,,,,
Malaysia,7,2003_05_15,37750,5,2,,,,,,,
Mongolia,9,2003_05_15,37747,7,0,,,,,,,
New Zealand,1,2003_05_15,37741,1,0,,,,,,,
Philippines,12,2003_05_15,37756,4,2,,,,,,,
Republic of Ireland,1,2003_05_15,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_15,37755,1,0,,,,,,,
Romania,1,2003_05_15,37707,1,0,,,,,,,
Singapore,205,2003_05_15,37750,157,28,,,,,,,
South Africa,1,2003_05_15,37720,0,1,,,,,,,
Spain,1,2003_05_15,37713,1,0,,,,,,,
Sweden,3,2003_05_15,37729,3,0,,,,,,,
Switzerland,1,2003_05_15,37697,1,0,,,,,,,
Thailand,8,2003_05_15,37754,5,2,,,,,,,
United Kingdom,4,2003_05_15,37740,4,0,,,,,,,
United States,64,2003_05_15,37751,35,0,,,,,,,
Viet Nam,63,2003_05_15,37725,58,5,,,,,,,
Total,7699,2003_05_15,,3484,598,,,,,,,
Australia,6,2003_05_16,37753,6,0,,,,,,,
Brazil,2,2003_05_16,37721,2,0,,,,,,,
Bulgaria,1,2003_05_16,37735,0,0,,,,,,,
Canada,140,2003_05_16,37745,106,23,,,,,,,
China,5191,2003_05_16,37757,1947,275,,,,,,,
"China, Hong Kong Special Administrative Region^4",1706,2003_05_16,37757,1171,238,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_16,37750,0,0,,,,,,,
"China, Taiwan",274,2003_05_16,37757,46,35,,,,,,,
Colombia,1,2003_05_16,37746,1,0,,,,,,,
Finland,1,2003_05_16,37748,0,0,,,,,,,
France,7,2003_05_16,37750,4,0,,,,,,,
Germany,9,2003_05_16,37750,9,0,,,,,,,
India,3,2003_05_16,37754,3,0,,,,,,,
Indonesia,2,2003_05_16,37734,2,0,,,,,,,
Italy,9,2003_05_16,37740,9,0,,,,,,,
Kuwait,1,2003_05_16,37720,1,0,,,,,,,
Malaysia,7,2003_05_16,37750,5,2,,,,,,,
Mongolia,9,2003_05_16,37747,7,0,,,,,,,
New Zealand,1,2003_05_16,37741,1,0,,,,,,,
Philippines,12,2003_05_16,37756,4,2,,,,,,,
Republic of Ireland,1,2003_05_16,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_16,37755,1,0,,,,,,,
Romania,1,2003_05_16,37707,1,0,,,,,,,
Singapore,205,2003_05_16,37750,157,28,,,,,,,
South Africa,1,2003_05_16,37720,0,1,,,,,,,
