Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
France,1,2003_03_26,None,0,0,,,,,,,
Germany,4,2003_03_26,None,0,0,,,,,,,
Italy,3,2003_03_26,None,0,0,,,,,,,
Republic of Ireland,2,2003_03_26,None,0,0,,,,,,,
Singapore,74,2003_03_26,Yes,0,1,,,,,,,
Switzerland,2,2003_03_26,To be determined,0,0,,,,,,,
Thailand,3,2003_03_26,None,0,0,,,,,,,
United Kingdom,3,2003_03_26,None,0,0,,,,,,,
United States,40,2003_03_26,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_26,Yes,0,4,,,,,,,
Total,1323,2003_03_26,,0,49,,,,,,,
Canada,28,2003_03_27,Yes,0,3,,,,,,,
China,806,2003_03_27,Yes,0,34,,,,,,,
"China, Hong Kong Special Administrative Region",367,2003_03_27,Yes,0,10,,,,,,,
"China, Taiwan",6,2003_03_27,Yes,0,0,,,,,,,
France,1,2003_03_27,None,0,0,,,,,,,
Germany,4,2003_03_27,None,0,0,,,,,,,
Italy,2,2003_03_27,None,0,0,,,,,,,
Republic of Ireland,2,2003_03_27,None,0,0,,,,,,,
Romania,3,2003_03_27,None,0,0,,,,,,,
Singapore,78,2003_03_27,Yes,0,2,,,,,,,
Switzerland,2,2003_03_27,To be determined,0,0,,,,,,,
Thailand,3,2003_03_27,None,0,0,,,,,,,
United Kingdom,3,2003_03_27,None,0,0,,,,,,,
United States,45,2003_03_27,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_27,Yes,0,4,,,,,,,
Total,1408,2003_03_27,,0,53,,,,,,,
Canada,29,2003_03_28,Yes,0,3,,,,,,,
China,806,2003_03_28,Yes,0,34,,,,,,,
"China, Hong Kong Special Administrative Region",425,2003_03_28,Yes,0,10,,,,,,,
"China, Taiwan",10,2003_03_28,Yes,0,0,,,,,,,
France,1,2003_03_28,None,0,0,,,,,,,
Germany,4,2003_03_28,None,0,0,,,,,,,
Italy,2,2003_03_28,None,0,0,,,,,,,
Republic of Ireland,2,2003_03_28,None,0,0,,,,,,,
Romania,3,2003_03_28,None,0,0,,,,,,,
Singapore,86,2003_03_28,Yes,0,2,,,,,,,
Switzerland,2,2003_03_28,None,0,0,,,,,,,
Thailand,3,2003_03_28,To be determined,0,0,,,,,,,
United Kingdom,3,2003_03_28,None,0,0,,,,,,,
United States,51,2003_03_28,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_28,Yes,0,4,,,,,,,
Total,1485,2003_03_28,,0,53,,,,,,,
Canada,37,2003_03_29,Yes,0,3,,,,,,,
China,806,2003_03_29,Yes,0,34,,,,,,,
"China, Hong Kong Special Administrative Region",470,2003_03_29,Yes,0,10,,,,,,,
"China, Taiwan",10,2003_03_29,Yes,0,0,,,,,,,
France,1,2003_03_29,None,0,0,,,,,,,
Germany,4,2003_03_29,None,0,0,,,,,,,
Italy,2,2003_03_29,None,0,0,,,,,,,
Republic of Ireland,2,2003_03_29,None,0,0,,,,,,,
Romania,3,2003_03_29,None,0,0,,,,,,,
Singapore,89,2003_03_29,Yes,0,2,,,,,,,
Switzerland,3,2003_03_29,None,0,0,,,,,,,
Thailand,3,2003_03_29,None,0,1,,,,,,,
United Kingdom,3,2003_03_29,None,0,0,,,,,,,
United States,59,2003_03_29,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_29,Yes,0,4,,,,,,,
Total,1550,2003_03_29,,0,54,,,,,,,
Canada,44,2003_03_31,Yes,0,4,,,,,,,
China,806,2003_03_31,Yes,0,34,,,,,,,
"China, Hong Kong Special Administrative Region",530,2003_03_31,Yes,0,13,,,,,,,
"China, Taiwan",10,2003_03_31,Yes,0,0,,,,,,,
France,1,2003_03_31,None,0,0,,,,,,,
Germany,5,2003_03_31,None,0,0,,,,,,,
Italy,2,2003_03_31,None,0,0,,,,,,,
Republic of Ireland,2,2003_03_31,None,0,0,,,,,,,
Romania,3,2003_03_31,None,0,0,,,,,,,
Singapore,91,2003_03_31,Yes,0,2,,,,,,,
Switzerland,3,2003_03_31,None,0,0,,,,,,,
Thailand,5,2003_03_31,None,0,1,,,,,,,
United Kingdom,3,2003_03_31,None,0,0,,,,,,,
United States,59,2003_03_31,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_31,Yes,0,4,,,,,,,
Total,1622,2003_03_31,,0,58,,,,,,,
Australia,1,2003_04_01,None,0,0,,,,,,,
Belgium,1,2003_04_01,None,0,0,,,,,,,
Canada,53,2003_04_01,Yes,0,4,,,,,,,
China,806,2003_04_01,Yes,0,34,,,,,,,
"China, Hong Kong Special Administrative Region",685,2003_04_01,Yes,0,16,,,,,,,
"China, Taiwan",13,2003_04_01,Yes,0,0,,,,,,,
France,1,2003_04_01,None,0,0,,,,,,,
Germany,5,2003_04_01,None,0,0,,,,,,,
Italy,3,2003_04_01,None,0,0,,,,,,,
Republic of Ireland,2,2003_04_01,None,0,0,,,,,,,
Romania,3,2003_04_01,None,0,0,,,,,,,
Singapore,92,2003_04_01,Yes,0,3,,,,,,,
Switzerland,3,2003_04_01,None,0,0,,,,,,,
Thailand,6,2003_04_01,None,0,1,,,,,,,
United Kingdom,3,2003_04_01,None,0,0,,,,,,,
United States,69,2003_04_01,To be determined,0,0,,,,,,,
Viet Nam,58,2003_04_01,Yes,0,4,,,,,,,
Total,1804,2003_04_01,,0,62,,,,,,,
Australia,1,2003_04_02,None,0,0,,,,,,,
Belgium,1,2003_04_02,None,0,0,,,,,,,
Canada,58,2003_04_02,Yes,0,6,,,,,,,
China,1190,2003_04_02,Yes,0,46,,,,,,,
"China, Hong Kong Special Administrative Region",708,2003_04_02,Yes,0,16,,,,,,,
"China, Taiwan",13,2003_04_02,Yes,0,0,,,,,,,
France,1,2003_04_02,None,0,0,,,,,,,
Germany,5,2003_04_02,None,0,0,,,,,,,
Italy,3,2003_04_02,None,0,0,,,,,,,
Republic of Ireland,2,2003_04_02,None,0,0,,,,,,,
Romania,3,2003_04_02,None,0,0,,,,,,,
Singapore,95,2003_04_02,Yes,0,4,,,,,,,
Spain,1,2003_04_02,None,0,0,,,,,,,
Switzerland,2,2003_04_02,None,0,0,,,,,,,
Thailand,7,2003_04_02,None,0,2,,,,,,,
United Kingdom,3,2003_04_02,None,0,0,,,,,,,
United States,72,2003_04_02,To be determined,0,0,,,,,,,
Viet Nam,58,2003_04_02,Yes,0,4,,,,,,,
Total,2223,2003_04_02,,0,78,,,,,,,
Australia,1,2003_04_03,None,0,0,,,,,,,
Belgium,1,2003_04_03,None,0,0,,,,,,,
Brazil,1,2003_04_03,None,0,0,,,,,,,
Canada,62,2003_04_03,Yes,0,6,,,,,,,
China,1190,2003_04_03,Yes,0,46,,,,,,,
"China, Hong Kong Special Administrative Region",734,2003_04_03,Yes,0,17,,,,,,,
"China, Taiwan",14,2003_04_03,Yes,0,0,,,,,,,
France,3,2003_04_03,None,0,0,,,,,,,
Germany,5,2003_04_03,None,0,0,,,,,,,
Italy,3,2003_04_03,None,0,0,,,,,,,
Republic of Ireland,1,2003_04_03,None,0,0,,,,,,,
Romania,1,2003_04_03,None,0,0,,,,,,,
Singapore,98,2003_04_03,Yes,0,4,,,,,,,
Switzerland,2,2003_04_03,None,0,0,,,,,,,
Thailand,7,2003_04_03,None,0,2,,,,,,,
United Kingdom,3,2003_04_03,None,0,0,,,,,,,
United States,85,2003_04_03,Being determined,0,0,,,,,,,
Viet Nam,59,2003_04_03,Yes,0,4,,,,,,,
Total,2270,2003_04_03,,0,79,,,,,,,
Australia,1,2003_04_04,None,0,0,,,,,,,
Belgium,1,2003_04_04,None,0,0,,,,,,,
Brazil,1,2003_04_04,None,0,0,,,,,,,
Canada,69,2003_04_04,Yes,0,7,,,,,,,
